Date,Open,High,Low,Close,Volume
2021-05-06,29024.01,29429.81,28966.47,29331.37,943036000
2021-05-07,29330.45,29449.86,29238.31,29357.82,675495300
2021-05-10,29376.89,29684.18,29350.35,29518.34,662982700
2021-05-11,29518.34,29518.34,28536.25,28608.59,731699500
2021-05-12,28608.59,28831.03,27889.82,28147.51,899923800
2021-05-13,28147.51,28223.3,27387.95,27448.01,804892100
2021-05-14,27462.6,28138.45,27448.01,28084.47,735398700
2021-05-17,28084.47,28311.16,27636.26,27824.83,638821700
2021-05-18,27800.96,28480.98,27800.96,28406.84,746557500
2021-05-19,28031.22,28215.66,27847.26,28044.45,686804800
2021-05-20,27875.5,28175.78,27833.41,28098.25,568200800
2021-05-21,28269.61,28411,28193.67,28317.83,586643900
2021-05-24,28212.32,28584.18,28212.32,28364.61,546708800
2021-05-25,28516.99,28576.41,28443.74,28553.98,539910400
2021-05-26,28396.62,28706.01,28396.62,28642.19,641630100
2021-05-27,28543.32,28586.66,28360.56,28549.01,1382062500
2021-05-28,28549.01,29194.11,28497.29,29149.41,805702000
2021-05-31,29019.45,29147.71,28791.6,28860.08,537879900
2021-06-01,28885.62,29075.47,28611.25,28814.34,473769700
2021-06-02,28792.51,29003.47,28565.83,28946.14,710023800
2021-06-03,28946.14,29152.9,28879.15,29058.11,585365100
2021-06-04,28901.42,28991.24,28765.54,28941.52,557890400
2021-06-07,28941.52,29238.48,28941.52,29019.24,509560300
2021-06-08,29046.03,29140.68,28897.72,28963.56,504183500
2021-06-09,28901.56,28930.85,28807.48,28860.8,503981200
2021-06-10,28799.74,29007.53,28799.74,28958.56,533387000
2021-06-11,29030.04,29080.89,28839.54,28948.73,710664400
2021-06-14,29153.11,29205.18,29027.26,29161.8,450302500
2021-06-15,29256.03,29480.85,29235.71,29441.3,530408900
2021-06-16,29306.14,29434.1,29263.72,29291.01,524099600
2021-06-17,29149.34,29195,28876.4,29018.33,568703600
2021-06-18,29136.74,29136.74,28957.98,28964.08,902160800
2021-06-21,28013.38,28015.79,27796.4,28010.93,758195300
2021-06-22,28513.07,28895.26,28495.26,28884.13,677734000
2021-06-23,28886.92,29007.83,28860.21,28874.89,510549800
2021-06-24,28811.82,28935.34,28758.37,28875.23,446190900
2021-06-25,29137.3,29174.17,28993.33,29066.18,515614400
2021-06-28,29112.66,29120.11,28984.93,29048.02,476817700
2021-06-29,28927.44,28950.5,28735.64,28812.61,597270300
2021-06-30,28896.31,28998.99,28779.76,28791.53,539680600
2021-07-01,28832.41,28832.61,28624.8,28707.04,458889900
2021-07-02,28719.24,28849.32,28688.63,28783.28,474716900
2021-07-05,28662.99,28665.92,28588.07,28598.19,384614400
2021-07-06,28677.95,28748.23,28587.61,28643.21,417423500
2021-07-07,28262.4,28434.99,28163.6,28366.95,603361100
2021-07-08,28332.63,28366.76,28118.03,28118.03,622200000
2021-07-09,27739.42,27999.59,27419.4,27940.42,823228300
2021-07-12,28412.7,28594.85,28411.04,28569.02,555422500
2021-07-13,28713.82,28852.31,28699.58,28718.24,497931900
2021-07-14,28517.31,28696.8,28482.82,28608.49,548272800
2021-07-15,28539.32,28571.72,28241.39,28279.09,532038800
2021-07-16,28039.26,28200,27847.35,28003.08,503831500
2021-07-19,27663.4,27792.52,27494.14,27652.74,498791000
2021-07-20,27351.8,27564.52,27330.24,27388.16,630098800
2021-07-21,27747.06,27880.34,27440.02,27548,514113600
2021-07-26,27990.47,28036.47,27789.35,27833.29,545421000
2021-07-27,27911.93,28036.2,27862.69,27970.22,516997200
2021-07-28,27674.99,27809.86,27466.99,27581.66,570860800
2021-07-29,27722.61,27798.05,27663.41,27782.42,677832300
2021-07-30,27677.89,27699.35,27272.49,27283.59,706422900
2021-08-02,27493.32,27834.41,27493.32,27781.02,600886700
2021-08-03,27580.03,27723.94,27492.4,27641.83,579446000
2021-08-04,27612.9,27636.32,27489.5,27584.08,675054200
2021-08-05,27526.67,27740.88,27526.67,27728.12,559202500
2021-08-06,27709.22,27888.87,27709.22,27820.04,563739200
2021-08-10,27887.03,28128.07,27808.54,27888.15,614308700
2021-08-11,28045.84,28145.2,27975.25,28070.51,671465300
2021-08-12,28177.2,28279.72,28006.69,28015.02,579364800
2021-08-13,28038.96,28069.67,27949.33,27977.15,558181400
2021-08-16,27806.11,27833.21,27429.12,27523.19,571879600
2021-08-17,27666.94,27750.39,27424.47,27424.47,495698500
2021-08-18,27418.08,27668.34,27347.77,27585.91,500506700
2021-08-19,27398.58,27504.8,27258.88,27281.17,651283500
2021-08-20,27238.45,27316.28,26956.17,27013.25,758033700
2021-08-23,27193.1,27541.63,27193.1,27494.24,567821600
2021-08-24,27653.23,27817.89,27653.23,27732.1,570723200
2021-08-25,27768.13,27897.61,27684.89,27724.8,514638700
2021-08-26,27793.63,27827.87,27684.5,27742.29,484909500
2021-08-27,27581.24,27670.16,27481.62,27641.14,492117000
2021-08-30,27867.6,27918.74,27656.63,27789.29,586304400
2021-08-31,27690.77,28158.5,27602.21,28089.54,758539300
2021-09-01,28179.04,28454.43,28179.04,28451.02,648036200
2021-09-02,28522.46,28626.2,28412.91,28543.51,601424400
2021-09-03,28626.48,29149.65,28607.87,29128.11,748758400
2021-09-06,29501.22,29704.42,29469.35,29659.89,682786200
2021-09-07,29883.92,30047.92,29838.43,29916.14,751542000
2021-09-08,29819.55,30241.87,29790.91,30181.21,825313500
2021-09-09,29959.21,30097.19,29909.92,30008.19,788045400
2021-09-10,30089.45,30381.84,30064.02,30381.84,888238900
2021-09-13,30372.02,30447.37,30230.67,30447.37,646296200
2021-09-14,30584.77,30795.78,30505.93,30670.1,790954300
2021-09-15,30408.13,30573.41,30347.3,30511.71,685556300
2021-09-16,30606.15,30622.39,30205.99,30323.34,698636700
2021-09-17,30491.58,30540.5,30453.49,30500.05,978602700
2021-09-21,30021.25,30051,29832.52,29839.71,763112500
2021-09-22,29744.73,29866.14,29573.88,29639.4,689911900
2021-09-24,30141.61,30276.38,30110.89,30248.81,845845200
2021-09-27,30277.82,30414.61,30197.4,30240.06,746356400
2021-09-28,30142.38,30206.76,30005.77,30183.96,898059700
2021-09-29,29611.92,29676.37,29332.29,29544.29,946521600
2021-09-30,29569.19,29622.27,29311.34,29452.66,990270300
2021-10-01,29235.11,29393.67,28680.73,28771.07,821613800
2021-10-04,29044.47,29044.47,28344.77,28444.89,764007300
2021-10-05,28050.39,28058.67,27460.66,27822.12,881941200
2021-10-06,28033.91,28209.82,27293.62,27528.87,1001882800
2021-10-07,27911.36,28015.11,27641.13,27678.21,795512000
2021-10-08,28031.37,28319.42,28020.44,28048.94,826656700
2021-10-11,27977.57,28581.36,27899.66,28498.2,722981600
2021-10-12,28458.88,28468.88,28166.38,28230.61,663191200
2021-10-13,28085.44,28364.99,27993.46,28140.28,639333000
2021-10-14,28264.41,28576.53,28235.87,28550.93,647531500
2021-10-15,28787.26,29082.35,28726.22,29068.63,663478700
2021-10-18,29093.82,29144.33,28925.32,29025.46,625648900
2021-10-19,29117.28,29272.49,29076.34,29215.52,576447900
2021-10-20,29385.95,29489.11,29222.32,29255.55,661082500
2021-10-21,29152.74,29220.72,28689.05,28708.58,591458200
2021-10-22,28578.53,28989.5,28547.24,28804.85,602059200
2021-10-25,28527.13,28666.2,28473.26,28600.41,626679600
2021-10-26,28927.61,29160.76,28895.79,29106.01,727762800
2021-10-27,29056.01,29139.22,28870.25,29098.24,705990000
2021-10-28,28871.61,28894.52,28700.79,28820.09,1428089200
2021-10-29,28819.16,29000.24,28475.06,28892.69,1044784500
2021-11-01,29330.68,29664.59,29271.03,29647.08,767309500
2021-11-02,29462.4,29599.39,29457.18,29520.9,711160900
2021-11-04,29859.74,29880.81,29718.78,29794.37,903998300
2021-11-05,29840.73,29840.73,29505.42,29611.57,735077300
2021-11-08,29735.45,29735.45,29507.05,29507.05,683466600
2021-11-09,29557.55,29750.38,29240.31,29285.46,650448400
2021-11-10,29207.7,29289.22,29080.52,29106.78,638903500
2021-11-11,29093.16,29331.74,29081.72,29277.86,605676800
2021-11-12,29381.45,29660.78,29277.86,29609.97,684044500
2021-11-15,29609.97,29861.88,29609.97,29776.8,604251200
2021-11-16,29749.71,29958.66,29681.25,29808.12,619847600
2021-11-17,29906.68,29908.59,29623.79,29688.33,639044800
2021-11-18,29597.93,29715.67,29403.4,29598.66,654090200
2021-11-19,29641.05,29768.54,29593.26,29745.87,655733600
2021-11-22,29618.55,29804.24,29542.29,29774.11,587707900
2021-11-24,29663.45,29751.85,29212.93,29302.66,695303700
2021-11-25,29469.65,29567.81,29444.54,29499.28,507120000
2021-11-26,29324.47,29332.99,28606.57,28751.62,728745800
2021-11-29,28337.96,28776.34,28187.12,28283.92,859116700
2021-11-30,28611.73,28718.7,27819.14,27821.76,1406636200
2021-12-01,27866.73,28106.24,27594.01,27935.62,808761700
2021-12-02,27716.2,27935.73,27644.96,27753.37,774195800
2021-12-03,27841.05,28029.57,27589.74,28029.57,719085400
2021-12-06,28069.96,28069.96,27693.91,27927.37,616864600
2021-12-07,28138.82,28617.71,27961.66,28455.6,782685100
2021-12-08,28792.89,28897.22,28621.47,28860.62,719881000
2021-12-09,28827.32,28908.29,28725.47,28725.47,543774000
2021-12-10,28542.5,28699.01,28393.78,28437.77,633615900
2021-12-13,28705.26,28793.32,28593.45,28640.49,535380800
2021-12-14,28554.86,28672.96,28311.26,28432.64,552497200
2021-12-15,28393.87,28515.25,28393.87,28459.72,558775700
2021-12-16,28868.37,29066.42,28782.37,29066.32,602662100
2021-12-17,28893.67,28904.94,28507.56,28545.68,844498000
2021-12-20,28325.46,28432.51,27893.18,27937.81,651767400
2021-12-21,28309.6,28533.74,28226.43,28517.59,557818000
2021-12-22,28614.06,28672.99,28474.02,28562.21,446534600
2021-12-23,28693.52,28798.37,28640.15,28798.37,435638200
2021-12-24,28836.05,28870.13,28773.5,28782.59,359085100
2021-12-27,28786.33,28805.03,28661.37,28676.46,374872200
2021-12-28,28953.32,29119.26,28881.44,29069.16,470404100
2021-12-29,28995.73,29106.07,28729.61,28906.88,447112200
2021-12-30,28794.24,28904.32,28579.49,28791.71,403887100
2022-01-04,29098.41,29323.79,28954.56,29301.79,660373200
2022-01-05,29288.8,29387.92,29204.45,29332.16,786258200
2022-01-06,29136.75,29158.95,28487.87,28487.87,715910200
2022-01-07,28711.53,28811,28293.7,28478.56,751712100
2022-01-11,28380.9,28471.73,28091.15,28222.48,737064600
2022-01-12,28449.53,28814.31,28430.35,28765.66,725477800
2022-01-13,28658.22,28660.45,28447.74,28489.13,698810800
2022-01-14,28246.99,28252.96,27890.69,28124.28,820674500
2022-01-17,28332.72,28449.18,28274.18,28333.52,544800000
2022-01-18,28451.34,28689.25,28131.21,28257.25,713133300
2022-01-19,27928.89,27958.17,27322.22,27467.23,842984000
2022-01-20,27401.43,27879.19,27218.78,27772.93,740209600
2022-01-21,27404.36,27586.42,27130.7,27522.26,727499500
2022-01-24,27258.45,27627.47,27203.5,27588.37,610186800
2022-01-25,27466.82,27488.13,26892.36,27131.34,769682100
2022-01-26,27105.98,27184.54,26858.68,27011.33,604684500
2022-01-27,27139.88,27187.97,26046.37,26170.3,887380500
2022-01-28,26429.85,26764.85,26289.69,26717.34,759867900
2022-01-31,26690.6,27133.38,26542.08,27001.98,782876300
2022-02-01,27167.14,27408.36,27017.57,27078.48,811318600
2022-02-02,27302.99,27564.62,27289.16,27533.6,852103800
2022-02-03,27330.96,27357.33,27166.2,27241.31,810742700
2022-02-04,27095.9,27455.98,27076.38,27439.99,796059900
2022-02-07,27327.63,27354.07,27088.1,27248.87,770960800
2022-02-08,27318.3,27461.33,27280.63,27284.52,766026900
2022-02-09,27488.65,27632.77,27405.88,27579.87,934778900
2022-02-10,27818.1,27877.02,27575.07,27696.08,828744300
2022-02-14,27305.92,27325.5,26949.79,27079.59,797744600
2022-02-15,27183.56,27205.2,26727.97,26865.19,761722300
2022-02-16,27269.05,27483.37,27227.24,27460.4,641243300
2022-02-17,27431.42,27437.57,27082.02,27232.87,677823700
2022-02-18,26895.16,27215.31,26792.86,27122.07,635334000
2022-02-21,26771.58,26993.09,26549,26910.87,529035600
2022-02-22,26515.45,26550.1,26246.27,26449.61,673108800
2022-02-24,26281.35,26357.58,25776.15,25970.82,935360800
2022-02-25,26213.2,26481.53,26162.81,26476.5,775798600
2022-02-28,26457.52,26643.68,26262.63,26526.82,910557100
2022-03-01,26836.74,27013.26,26821.75,26844.72,740236100
2022-03-02,26532.2,26585.3,26313.72,26393.03,877107100
2022-03-03,26628.87,26702.53,26502.5,26577.27,747893100
2022-03-04,26421.85,26421.85,25777.45,25985.47,935295900
2022-03-07,25634.09,25634.09,25006.26,25221.41,1053767500
2022-03-08,24974.35,25286.27,24769.52,24790.95,1147420200
2022-03-09,24876.49,25084.08,24697.66,24717.53,915253100
2022-03-10,25108.47,25719.74,25101.72,25690.4,952294400
2022-03-11,25495.03,25500.69,24966.5,25162.78,895950900
2022-03-14,25338.64,25629.26,25299.64,25307.85,725829100
2022-03-15,25228.53,25440.23,25221.26,25346.48,732023700
2022-03-16,25574.9,25824.14,25471.69,25762.01,823423000
2022-03-17,26170.38,26701.63,26152.89,26652.89,896413400
2022-03-18,26649.5,26862.43,26592.98,26827.43,1081821100
